customer_id,credit_score,tenure,products_number,credit_card,active_member,country,age,gender,balance,churn,estimated_salary
15647311,608,1,1,0,1,Spain,41,Female,83807.86,0,0.0
15619304,502,8,3,1,0,France,42,Female,159660.8,1,0.0
15701354,699,1,2,0,0,France,39,Female,0.0,0,0.0
15737888,850,2,1,1,1,Spain,43,Female,125510.82,0,0.0
15574012,645,8,2,1,0,Spain,44,Male,113755.78,1,0.0
15592531,822,7,2,1,1,France,50,Male,0.0,0,0.0
15656148,376,4,4,1,0,Germany,29,Female,115046.74,1,0.0
15792365,501,4,2,0,1,France,44,Male,142051.07,0,0.0
15592389,684,2,1,1,1,France,27,Male,134603.88,0,0.0
15767821,528,6,2,0,0,France,31,Male,102016.72,0,0.0
15737173,497,3,2,1,0,Spain,24,Male,0.0,0,0.0
15632264,476,10,2,1,0,France,34,Female,0.0,0,0.0
15691483,549,5,2,0,0,France,25,Female,0.0,0,190857.79
15600882,635,7,2,1,1,Spain,35,Female,0.0,0,0.0
15643966,616,3,2,0,1,Germany,45,Male,143129.41,0,0.0
15737452,653,1,1,1,0,Germany,58,Male,132602.88,1,0.0
15788218,549,9,2,1,1,Spain,24,Female,0.0,0,14406.41
15661507,587,6,1,0,0,Spain,45,Male,0.0,0,158684.81
15568982,726,6,2,1,1,France,24,Female,0.0,0,0.0
15577657,732,8,2,1,1,France,41,Male,0.0,0,0.0
15597945,636,8,2,1,0,Spain,32,Female,0.0,0,0.0
15699309,510,4,1,1,0,Spain,38,Female,0.0,1,0.0
15725737,669,3,2,0,1,France,46,Male,0.0,0,0.0
15625047,846,5,1,1,1,France,38,Female,0.0,0,0.0
15738191,577,3,2,0,1,France,25,Male,0.0,0,0.0
15736816,756,2,1,1,1,Germany,36,Male,136815.64,0,170041.95
15700772,571,9,2,0,0,France,44,Male,0.0,0,0.0
15728693,574,3,1,1,1,Germany,43,Female,141349.43,0,100187.43
15656300,411,0,2,1,1,France,29,Male,59697.17,0,53483.21
15706552,533,7,1,0,1,France,36,Male,85311.7,0,0.0
15750181,553,9,2,0,0,Germany,41,Male,110112.54,0,0.0
15659428,520,6,2,1,1,Spain,42,Female,0.0,0,0.0
15732963,722,9,2,1,1,Spain,29,Female,0.0,0,142033.07
15794171,475,0,1,1,0,France,45,Female,134264.04,1,0.0
15729599,804,7,1,0,1,Spain,33,Male,76548.6,1,0.0
15717426,850,7,1,1,1,France,36,Male,0.0,0,0.0
15585768,582,6,2,0,1,Germany,41,Male,70349.48,0,0.0
15619360,472,4,1,1,0,Spain,40,Male,0.0,0,0.0
15738148,465,8,1,0,0,France,51,Female,122522.32,1,0.0
15687946,556,2,1,1,1,France,61,Female,117419.35,0,0.0
15755196,834,2,1,0,0,France,49,Female,131394.56,1,194365.76
15684171,660,5,1,1,1,Spain,61,Female,155931.11,0,0.0
15754849,776,4,2,1,1,Germany,32,Female,109421.13,0,126517.46
15602280,829,9,1,1,1,Germany,27,Female,112045.67,1,0.0
15771573,637,9,1,1,1,Germany,39,Female,137843.8,1,0.0
15766205,550,2,1,0,1,Germany,38,Male,103391.38,0,0.0
15771873,776,2,2,1,0,Germany,37,Female,103769.22,0,0.0
15616550,698,10,2,1,0,Germany,44,Male,116363.37,0,198059.16
15768193,585,5,2,0,0,Germany,36,Male,146050.97,0,86424.57
15683553,788,5,2,0,0,France,33,Female,0.0,0,0.0
15702298,655,8,1,0,0,Germany,41,Male,125561.97,1,0.0
15569590,601,1,1,1,0,Germany,42,Male,98495.72,1,0.0
15760861,619,1,1,1,1,France,43,Male,125211.92,0,0.0
15630053,656,5,1,1,0,France,45,Male,127864.4,0,87107.57
15647091,725,0,1,0,0,Germany,19,Male,75888.2,0,0.0
15623944,511,4,1,1,0,Spain,66,Female,0.0,1,0.0
